group1,group2,meandiff,p-adj,lower,upper,reject
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,-0.04,1.0,-1.6866,1.6066,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,-0.08,1.0,-1.7266,1.5666,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,-0.08,1.0,-1.7266,1.5666,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.28,0.9995,-1.9266,1.3666,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.24,0.9998,-1.4066,1.8866,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.32,0.9989,-1.9666,1.3266,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.08,1.0,-1.7266,1.5666,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,-0.04,1.0,-1.6866,1.6066,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,-0.04,1.0,-1.6866,1.6066,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.24,0.9998,-1.8866,1.4066,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.28,0.9995,-1.3666,1.9266,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.28,0.9995,-1.9266,1.3666,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.04,1.0,-1.6866,1.6066,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.0,1.0,-1.6466,1.6466,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.2,1.0,-1.8466,1.4466,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.32,0.9989,-1.3266,1.9666,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.24,0.9998,-1.8866,1.4066,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.0,1.0,-1.6466,1.6466,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.2,1.0,-1.8466,1.4466,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.32,0.9989,-1.3266,1.9666,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.24,0.9998,-1.8866,1.4066,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.0,1.0,-1.6466,1.6466,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.52,0.9784,-1.1266,2.1666,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.04,1.0,-1.6866,1.6066,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.2,1.0,-1.4466,1.8466,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.56,0.9673,-2.2066,1.0866,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.32,0.9989,-1.9666,1.3266,False
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.24,0.9998,-1.4066,1.8866,False
